Category,Description
IT,Backup project to server - 15 Jul 23
IT,17079 | Alumex International | Purchase Order(Modu
IT,17080 | BSL Castings Pvt. Ltd. | Dispatch Advice II(Module) | Data Rectification
IT,17083 | Royal Tool India | Challan Out(Module) | Bug Rectification
IT,17084 | Rajshree Industries Unit-II | Credit Note(Module) | Bug Rectification
HR,Hiring post
Finance,Finance activity help
Finance,Today work
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
HR,Trackhr evaluation - 17 Jul 23
Other,Monthly contributions
Marketing & Sales,Seo Course - 17 Jul 23
Finance,Raise invoice to canon
IT,17095 | SRI AUROBINDO AUTOMOTIVE COMPONENTS | Trial Balance(Report) | Bug Rectificati
Finance,Canon India pvt ltd
IT,30015 | Agro Engineering Works | RoutecardV1(Module) | New development
IT,Sidhi International and omega
IT,17099 | YAMAN INDUSTRIES | N.A(N.A) | Bug Rectification
Operations,Omega's wip to material receipt posting issue
Other,IT
IT,New Organisation Created
IT,Lawcrux bug
IT,Arvind and bsl
Finance,Updating payment sheet
Operations,Rejection decision
Operations,Omega material issue error
IT,Development sheets and meeting
IT,Backup - 14 Jul 23
HR,Trackhr evaluation - 14 Jul 23
IT,New Organisation Created
IT,Bill sundry master
IT,Cheque cancellation memo
IT,For making development sheets
Finance,E-invoice and eway dll integration (OPB)
IT,17085 | YAMAN INDUSTRIES | N.A(N.A) | Bug Rectification
IT,17089 | Rajshree Industries Unit-II | GST Invoice(Module) | Bug Rectification
IT,17090 | Shiv Tools Engg. P. Ltd. Plant-II | N.A(N.A) | License expire
IT,17091 | SUPERCUT ENGINEERING WORKS | N.A(N.A) | Ems Installation
IT,Complaints Resolution help
IT,Development sheets follow up
IT,Condor new flow checking and creating
Operations,Today's activities
IT,"Bsl, pmt and omega complaints help"
IT,Condor user Rights Excel sheet
IT,Contractor Work Order V7
IT,17108 | Span Industries | N.A(N.A) | Bug Rectification
IT,30032 | BSL Castings Pvt. Ltd. | Bank Reconcilation(Module) | Data rectification
Marketing & Sales,Seo Course - 18 Jul 23
IT,Jindal fabric complaint
Training,ERP DEMO preparation
IT,30035 | PROMPTECH INDUSTRIAL PRODUCT | Bank Reconcilation(Module) | Bug rectification
IT,17115 | YAMAN INDUSTRIES | N.A(N.A) | Bug Rectification
IT,17116 | YAMAN INDUSTRIES | N.A(N.A) | Bug Rectification
IT,17121 | SRI AUROBINDO AUTOMOTIVE COMPONENTS | Voucher(Module) | Bug Rectification
Finance,Today work
IT,Development sheets and modules integration Follow
IT,30044 | Rajhans Presssings Pvt. Ltd. (Unit-III) | N.A(N.A) | Bug rectification
IT,30045 | Rajhans Industries | Dispatch Advice(Modul
IT,30049 | KRISHNA ENTERPRISES | N.A(N.A) | USer license count
Marketing & Sales,SFM PPT and EMS Help in demo
IT,30055 | Rajshree Industries Unit-II | Dispatch Advice(Module) | Data rectification
Marketing & Sales,Video shoot for daily reels - 18 Jul 23
Marketing & Sales,LinkedIn post - 18 Jul 23
Marketing & Sales,Influencer Marketing & PR - 18 Jul 23
Marketing & Sales,Loading Speed - 18 Jul 23
Marketing & Sales,Business Recite - 24 Jul 23
Marketing & Sales,Blog & Illustration - 19 Jul 23
IT,Backup - 18 Jul 23
IT,30018 | Ajay Engineering Works Unit-II | Auto Backup(Module) | Bug rectification
IT,30020 | Ajay Engineering Works Unit-II | Auto Backup(Module) | Bug rectification
IT,30026 | Ajay Engineering Works Unit-II | Auto Backup(Module) | Bug rectification
IT,30015 | Agro Engineering Works | entry(image) | New development
IT,30030 | Span Industries | N.A(N.A) | Bug rectification
IT,30034 | Ajay Engineering Works Unit-II | RoutecardV1(Module) | Bug rectification
IT,30036 | PROMPTECH INDUSTRIAL PRODUCT | GST Invoice(Module) | Bug rectification
IT,30039 | Omega Bright Steel Pvt Ltd. | Production(Module) | Data rectification
IT,Contractor Billbook V7
IT,17117 | TAJ FORGINGS PVT. LTD. | N.A(N.A) | Bug Rectification
IT,17123 | Omega Bright Steel Pvt Ltd. | Material Issue(Module) | Bug Rectification
IT,[Sub] 17123 | Omega Bright Steel P
IT,Condor locking and id deletion
Marketing & Sales,Like and Share
IT,30047 | M.Engineering Tools | N.A(N.A) | USer license count
Marketing & Sales,Demo For Mydeen
IT,30056 | Arvindo Fabnoplast Pvt Ltd. | N.A(N.A) | Backup
IT,30057 | Arvindo Fabnoplast Pvt Ltd. | N.A(N.A) | Backup
HR,Petty cash
IT,30058 | M.Engineering Tools | Profit & Loss A/C(Module) | Bug rectification
Marketing & Sales,Monica Products Update Urgent
IT,Spra complaint
IT,30061 | Ajay Engineering Works Unit-II | BarCode Scan Removal(Module) | Data rectific
IT,17126 | Rajhans Presssings Pvt. Ltd. (Unit-III) | N.A(N.A) | User license count
IT,17129 | M Engg Unit2 | N.A(N.A) | User license count
IT,[Sub] 17120 | OPB PRECITECH INDUST
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30036 | PROMPTECH INDUSTRIAL"
IT,[Sub] 17112 | PROMPTECH INDUSTRIAL
IT,30046 | PMT ENGINEERS | RouteCardV1(Module) | Bug rectification
IT,30050 | Karan Automotives Pvt. Ltd. | GST Invoice(Module) | Data rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30051 | PROMPTECH INDUSTRIAL"
IT,30059 | Royal Auto Tech (Sec-58) | N.A(N.A) | Backup
IT,30060 | Royal Auto Tech (Sec-58) | Inward Debit Note(Module) | Data rectification
IT,17125 | Karan Automotives Pvt. Ltd. | Challan Out Daybook(Report) | Bug Rectification
IT,17130 | KRISHNA ENTERPRISES | N.A(N.A) | User license count
IT,17131 | Karan Automotives Pvt. Ltd. | GST Invoice(Module) | Data Rectification
IT,17133 | PMT ENGINEERS | Dispatch Advice(Module) | Data Rectification
IT,17134 | Rajshree Industries | GST Invoice(Module) | Data Rectification
IT,17135 | Rajshree Industries | Dispatch Advice(Module) | Data Rectification
IT,17136 | Rajshree Industries | Dispatch Advice(Module) | Data Rectification
IT,17137 | Arvindo Fabnoplast Pvt Ltd. | N.A(N.A) | Backup
IT,17138 | Royal Auto Tech (Sec-58) | N.A(N.A) | Backup
IT,17139 | Royal Auto Tech (Sec-58) | Inward Debit Note(Module) | Data Rectification
IT,30061 | Ajay Engineering Works Unit-II | BarCode Scan Removal(Module) | Data rectific
IT,17140 | SELF | RouteCardV1(Module) | Data Rectification
IT,[Sub] 17140 | SELF | RouteCardV1(M
IT,17141 | Arvind Engineers | Production(Module) | Bug Rectification
IT,17142 | Arvind Engineers | Material ReceiptV2(Module) | Bug Rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>17142 | Arvind Engineers | M"
IT,30061 | Ajay Engineering Works Unit-II | BarCode Scan Removal(Module) | Data rectific
Finance,Today work
IT,Pallet Memo V7
Marketing & Sales,S1/2 Reel
Marketing & Sales,S2/2 Reel
IT,Rework Production V7
IT,Scrap Decision V7
IT,New Organisation Created
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Finance,Working On Reconciliations
IT,30123 | SWASTIK AUTOMECH PVT. LTD | Sale Order(Module) | Bug rectification
Finance,Update Trial Balance Excel To Chabbra Sir
IT,Sakte metal plot no.
IT,30125 | PMT ENGINEERS | GRN(Module) | Bug rectification
IT,[Sub] 30125 | PMT ENGINEERS | GRN(
IT,30126 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | Bug rectification
IT,30128 | Faridabad Bolt Tight Industries Pvt. Ltd. Plant -I | N.A(N.A) | Bug rectifica
IT,30129 | PROMPTECH INDUSTRIAL PRODUCT | GST Invoice(Module) | Bug rectification
IT,30131 | SWASTIK AUTOMECH PVT. LTD | N.A(N.A) | Backup
IT,30133 | Royal Auto Tech | N.A(N.A) | Bug rectification
IT,30134 | SWASTIK INDUSTRIES | N.A(N.A) | Bug rectification
IT,30135 | PROMPTECH INDUSTRIAL PRODUCT | GST Invoice(Module) | Bug rectification
IT,30136 | PROMPTECH INDUSTRIAL PRODUCT | GST Invoice(Module) | Bug rectification
IT,30138 | M.Engineering Tools | N.A(N.A) | Bug rectification
IT,30141 | Rajhans Presssings Pvt. Ltd. (Unit-III) | N.A(N.A) | Bug rectification
IT,30142 | Rajhans Presssings Pvt. Ltd. (Unit-III) | Journal Voucher(Module) | Bug recti
IT,30144 | SPRA Automotive Pvt Ltd | N.A(N.A) | Bug rectification
IT,Backup project to server - 27 Jul 23
HR,Correct check in time in Trackhr report
HR,Trackhr evaluation - 27 Jul 23
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,Alumex mail
IT,Krishn
IT,[Sub] 30129 | PROMPTECH INDUSTRIAL
IT,30140 | SHARDA AUTO PRODUCTS | N.A(N.A) | Bug rectification
IT,30143 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
IT,Complaints Discussion
IT,S7/13 Update trackhr app asap
IT,S8/13 Update trackhr app asap
IT,S9/13 Update trackhr app asap
IT,S10/13 Update trackhr app asap
IT,S11/13 Update trackhr app asap
IT,S12/13 Update trackhr app asap
IT,S13/13 Update trackhr app asap
IT,Test
IT,30148 | INTALIO PRIVATE LIMITED | WorkOrderV1(Modu
IT,30149 | Omega Bright Steel Pvt Ltd. | GRNV2(Module) | Bug rectification
IT,[Sub] 30149 | Omega Bright Steel P
HR,Trackhr evaluation - 28 Jul 23
IT,Bhatiya alloy unit-3
Operations,Identify all the Planning that are to be merged.
IT,Employee Salary StructureV7
IT,30155 | Bhupendra Steels Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,Complaint and sales discussion
IT,Siddhi and alumex
IT,30162 | KRISHNA ENTERPRISES | N.A(N.A) | Bug recti
Operations,Odbc setting on Hex pc
Finance,Working On Credit Crd Statements
Marketing & Sales,"<small><font color=""#9E9E9E""><i>[Sub] </i></font><"
Marketing & Sales,Provide Me Script
IT,Bsl Backup Restore For Harish sir complaint
Finance,Ais Tis Downloads
IT,30181 | INTALIO PRIVATE LIMITED | N.A(N.A) | Modification
Marketing & Sales,Video shoot for daily reels - 27 Jul 23
Marketing & Sales,LinkedIn post - 27 Jul 23
Marketing & Sales,Influencer Marketing & PR - 27 Jul 23
Marketing & Sales,Crawl Errors - 30 Jul 23
Marketing & Sales,Broken Links - 30 Jul 23
Marketing & Sales,Loading Speed - 27 Jul 23
Marketing & Sales,Review - 27 Jul 23
Finance,Gstr2a
IT,30132 | Alumex International | N.A(N.A) | Bug rectification
HR,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Monthly contribution - 01 Au"
IT,For making requirement sheets
Finance,"Chashup call ,payment sheet update"
IT,Development sheet update and follow up
IT,30164 | KRISHNA ENTERPRISES | MRN(Module) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Required New Report"
Marketing & Sales,Lock Database Jyotiriling
IT,New Organisation Created
Finance,Credit card Excel Working
HR,[Sub] Make arun sir Id card and vi
IT,[Sub] 30167 | SWASTIK AUTOMECH PVT
IT,Updating system details
IT,[Sub] 30168 | Omega Bright Steel P
IT,30169 | BSL Castings Pvt. Ltd. | Stock Reconcilation(Module) | Data rectification
Training,In depth training logbook to hardik
IT,30170 | Rajhans Presssings Pvt. Ltd. (Unit-III) | N.A(N.A) | Bug rectification
IT,30171 | Rajhans Presssings Pvt. Ltd. (Unit-III) | N.A(N.A) | Bug rectification
IT,30173 | Alumex International | N.A(N.A) | Bug rect
Finance,Chashup call
Finance,Tally Working On 23-24
Finance,Ledger check
IT,30174 | Rajshree Industries Unit-II | Credit Note(Module) | Bug rectification
IT,30175 | Rajshree Industries Unit-II | GST Invoice(Module) | Bug rectification
IT,30176 | SPRA Automotive Pvt Ltd | Voucher(Module) | Bug rectification
IT,30177 | Alumex International | N.A(N.A) | Bug rectification
IT,30178 | J.J. ENGINEERING WORKS | N.A(N.A) | Bug rectification
Marketing & Sales,Recharge On 8700817819
HR,Birthday celebration
IT,Jindal fabric complaint
Operations,Take backup and restore on server
Operations,Today's activities
Finance,Bank Statements Arrangements
IT,Modules Numbers and list created on f Drive
IT,30166 | SWASTIK AUTOMECH PVT. LTD | Purchase Billbook(Module) | Bug rectification
Finance,Bhatia alloy unit 3
IT,30172 | Pooja Metal Processors Pvt Ltd | N.A(N.A) | Bug rectification
IT,Rajhans Backups restored 2017 se 2023 tak Gujarat
Other,Making handover list
HR,Finaliaze onboarding
Operations,Today's activities
Operations,Sale billbook trader to tally posting
IT,30179 | SWASTIK AUTOMECH PVT. LTD | Purchase Billbook(Module) | Bug rectification
IT,Intalio pvt ltd
IT,Bhatia alloy unit 3
IT,30182 | INTALIO PRIVATE LIMITED | GST Invoice(Module) | Data rectification
IT,30184 | Span Industries | N.A(N.A) | License expire
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,New Organisation Created
IT,Backup - 31 Jul 23
IT,30183 | BHATIA ALLOY FORGINGS PVT. LTD. | RouteCardV1(Module) | Bug rectification
IT,30185 | SWASTIK INDUSTRIES | N.A(N.A) | USer license count
Marketing & Sales,Vimal Hospitality Add User
IT,30187 | BSL Castings Pvt. Ltd. | Jobwork (OSP) Ledger(Report) | Bug rectification
IT,30190 | Omega Bright Steel Pvt Ltd. | Sale Schedule(Module) | Bug rectification
IT,30191 | Rajhans Industries | N.A(N.A) | License expire
IT,30181 | INTALIO PRIVATE LIMITED | N.A(N.A) | Modification
IT,[Sub] 30195 | SWASTIK AUTOMECH PVT
IT,30196 | SWASTIK AUTOMECH PVT. LTD | N.A(N.A) | USer license count
IT,Hardware assemble
IT,30198 | JAYEM AUTO INDUSTRIES PVT. LTD.(SEC-6) | Bank Reconcilation(Module) | Bug rec
IT,Shree Krishna Laminators
IT,30199 | TAJ FORGINGS PVT. LTD | N.A(N.A) | USer license count
Finance,Tally Working
IT,Sample Plan Master
IT,New modules IT
IT,30202 | Ajay Engineering Works | PPC Production(Module) | Data rectification
Other,Today's activity
IT,30205 | Ajay Engineering Works | N.A(N.A) | Bug rectification
Other,Hex IT
IT,[Sub] 30177 | Alumex International
IT,Complaints Help after Lunch
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Sales material formet sheet
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,30214 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
IT,30215 | TAJ FORGINGS PVT. LTD | N.A(N.A) | Bug rectification
IT,30217 | BSL Castings Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,30218 | Rajhans Presssings Pvt. Ltd. (Unit-III) | N.A(N.A) | Bug rectification
IT,30219 | Royal Tool India 24/plot 74 | N.A(N.A) | Bug rectification
IT,[Sub] 30220 | INTALIO PRIVATE LIMI
Marketing & Sales,write this review on play store
IT,30222 | ARVIND ENGINEERS (UNIT-III) | N.A(N.A) | Bug rectification
IT,[Sub-2] 30205 | Ajay Engineering W
IT,Modules
Operations,Today's activities
IT,Update development sheets and follow up
Training,Provide petty cash for client visiting
IT,30223 | ARVIND ENGINEERS (UNIT-III) | N.A(N.A) | Bug rectification
HR,Change checkin time 04.08.023 /9:30
Planning,Yidudguy
IT,Tool Master V7
IT,Backup - 07 Aug 23
IT,[Sub] 30285 | P.S. METALS | GST In
IT,Backup - 07 Aug 23
Marketing & Sales,review on Play store
Training,Shram service industry
IT,New Organisation Created
Operations,Today activity 0708
Finance,CC STATEMENT WORKING
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Visit Abc Company
IT,30300 | CONDOR POWER ODUCTS (P) LTD. | N.A(N.A) |
Marketing & Sales,Om Pest Control Demo
HR,On boarding and offboarding checklist
Finance,Today work
IT,New development discussion and updation
IT,Get play services from greengate
IT,Help in complaints
IT,Ems queries and discussion tally finding
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30123 | SWASTIK AUTOMECH PVT"
Marketing & Sales,Shoot
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,System Problem
Finance,CC Statement Working Entries
IT,30310 | Rajhans Presssings Pvt. Ltd. (Gujarat) | N.A(N.A) | Bug rectification
IT,30311 | SWASTIK INDUSTRIES | N.A(N.A) | Bug rectification
IT,30312 | SWASTIK INDUSTRIES | N.A(N.A) | Bug rectification
IT,30313 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | Bug rectification
IT,30316 | YAMAN INDUSTRIES | Challan Out(Module) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Yaman unit-3"
IT,30317 | Shiv Tools Engg. P. Ltd. Plant-II | Accounts Ledger(Report) | Bug rectificati
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Petrol Inspection v7SDI"
IT,30295 | Rajhans Presssings Pvt. Ltd. (Unit-III) | Accounts Ledger(Report) | Bug recti
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,30297 | Royal Auto Tech | TCS Details(Report) | Bu
IT,30298 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | Bug rectification
IT,30299 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | USer license count
IT,30303 | SWASTIK AUTOMECH PVT. LTD | GST Invoice(Module) | Bug rectification
IT,30304 | BSL Castings Pvt. Ltd. | Accounts Ledger(Report) | Bug rectification
IT,30305 | BSL Castings Pvt. Ltd. | Bank Reconcilation(Module) | Data rectification
IT,"Record ,Upload And Play Audio"
IT,30306 | Rajhans Pressings Pvt. Ltd. (Unit-II) rudr
IT,30307 | ARVIND ENGINEERS (UNIT-III) | Dispatch Advice II(Module) | Bug rectification
Finance,CC STATEMENT WIRKING
IT,Complaints Discussion and help
Operations,Swasthik challan out rate issue
HR,Trackhr evaluation - 10 Aug 23
IT,Backup - 08 Aug 23
Operations,Today activity 0808
IT,New Organisation Created
IT,30309 | PMT ENGINEERS | JobWork Billbook(Module) | Bug rectification
IT,Alumex International
IT,Excel sheets for new development
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30308 | JAYEM AUTO INDUSTRIE"
IT,Intalio print file
IT,Modules IT
IT,Test
Finance,Today work
Operations,Mark's and jindal fabric complaints
IT,IT relay module
IT,Attendance machine works
Marketing & Sales,Loading Speed - 09 Aug 23
Marketing & Sales,Blog & Illustration - 10 Aug 23
Finance,Logged user create
IT,30351 | Rajhans Pressings Pvt. Ltd. (Unit-II) rudrapur | N.A(N.A) | License expire
IT,New Organisation Created
IT,New Organisation Created
IT,Crystal Report help jivek and intalio
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30355 | Omega Bright Steel P"
IT,Bhatia allow master transfer
Other,Client meeting and dealing
Marketing & Sales,Video shoot for daily reels - 08 Aug 23
Marketing & Sales,LinkedIn post - 08 Aug 23
Marketing & Sales,Influencer Marketing & PR - 08 Aug 23
Marketing & Sales,Crawl Errors - 11 Aug 23
Marketing & Sales,Broken Links - 11 Aug 23
Marketing & Sales,Loading Speed - 08 Aug 23
Marketing & Sales,Business Recite - 14 Aug 23
Marketing & Sales,Review - 08 Aug 23
IT,30314 | Alumex International | N.A(N.A) | EMS installation
IT,30315 | SRI AUROBINDO AUTOMOTIVE COMPONENTS | JobO
IT,30318 | Alumex International | N.A(N.A) | USer license count
IT,30339 | Royal Auto Tech | Indent(Module) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30342 | M.Engineering Tools"
Operations,Updating asset info on sheet
IT,30356 | Alumex International | N.A(N.A) | Bug rectification
IT,New Organisation Created
IT,30363 | PROMPTECH INDUSTRIAL PRODUCTS | N.A(N.A) | Bug rectification
IT,Working with punit sir
IT,[Sub] 30367 | BHATIA ALLOY FORGING
Finance,Credit Card Statement Finalisation
IT,30372 | Karan Automotives Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,Jivek print file
Marketing & Sales,Write a review on Play Store/App store
Finance,Discussion Wid Sonaal Sir
HR,Trackhr evaluation - 14 Aug 23
IT,test
IT,30387 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A) | Bug rectification
Finance,Working On Gstr
Marketing & Sales,Business Recite - 21 Aug 23
Marketing & Sales,Blog & Illustration - 16 Aug 23
Marketing & Sales,Review - 16 Aug 23
Marketing & Sales,Video shoot
IT,Audio Logger
IT,Marks ancillary
HR,Trackhr evaluation - 17 Aug 23
IT,[Sub] 30309 | PMT ENGINEERS | JobW
IT,[Sub] 30323 | INTALIO PRIVATE LIMI
IT,30328 | Alumex International | Product Master(Module) | Data rectification
Finance,Invoice me bill no not show
IT,30343 | YAMAN INDUSTRIES | GST Invoice(Module) | Data rectification
Marketing & Sales,Client Visit -Bhavsar
Finance,Today work
IT,30123 | SWASTIK AUTOMECH PVT. LTD | Sale Order(Module) | Bug rectification
Other,Entries Rectifications
IT,Complaints Resolution Help
IT,[Sub] 30360 | Omega Bright Steel P
IT,Development follow up and update sheet
IT,Dispatch srv v7
Finance,Trial Balance Reco
IT,30381 | Vinayakk Press Tools | N.A(N.A) | Bug rectification
IT,30385 | Faridabad Bolt Tight Industries Pvt. Ltd. | N.A(N.A) | Bug rectification
Operations,Today's activity 1408
IT,[Sub] 30392 | Alumex International
Marketing & Sales,Write a review on Play store
IT,30409 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
IT,Google sheet update and discussion
IT,Alumex and condor problem help
Finance,Working On LLP 2b
IT,30422 | BHATIA ALLOY FORGINGS PVT. LTD. | Purchase Order(Module) | Bug rectification
IT,Development sheet creating
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30422 | BHATIA ALLOY FORGING"
IT,30428 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | Bug rectification
IT,30430 | OPB PRECITECH INDUSTRIES | N.A(N.A) | Bug rectification
IT,Arvind Trail balance report
IT,Modules IT and audio recording
Operations,Planning development
IT,Grnv7 open purchase on canvas & posting
IT,30436 | YAMAN INDUSTRIES | Challan Out(Module) | Bug rectification
IT,Pritam international flow checking IQC
IT,InvoiceV7
IT,Discussion for complaints and resolution help
IT,Complaints help for resolution queries
IT,[Sub] 30324 | Siddhi International
Operations,Today activity 0908
IT,30356 | Alumex International | N.A(N.A) | Bug rectification
IT,30358 | Royal Auto Tech (Sec-58) | N.A(N.A) | Bug rectification
IT,30359 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
IT,30369 | Omega Bright Steel Pvt Ltd. | Dispatch Advice II(Module) | Bug rectification
Finance,Bill For Unistructdesigner
IT,30391 | CONDOR POWER ODUCTS (P) LTD. | Production Slip(Module) | Modification
IT,30395 | OPB PRECITECH INDUSTRIES | N.A(N.A) | Bug rectification
IT,30403 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | Bug rectification
IT,Backup project to server - 17 Aug 23
IT,Back-up Bhatia
Finance,Task Recording For Submission
Finance,Filing Gstr 2b Of Both Firms
IT,30439 | JAYEM AUTO INDUSTRIES PVT. LTD.(PRITHLA) | Party Jobwork OSP Ledger(Report) |
IT,30442 | BSL Castings Pvt. Ltd. | N.A(N.A) | Backup
IT,30444 | JAYEM AUTO INDUSTRIES PVT. LTD. | MRN(Module) | Bug rectification
IT,30448 | Arvind Engineers | Purchase Billbook(Module) | Data rectification
IT,Complaints
IT,30450 | Omega Bright Steel Pvt Ltd. | Dispatch Advice II(Module) | Bug rectification
IT,Credit card statement v7
IT,Backup project to server - 09 Aug 23
Marketing & Sales,Video shoot for daily reels - 09 Aug 23
Marketing & Sales,LinkedIn post - 09 Aug 23
Marketing & Sales,Influencer Marketing & PR - 09 Aug 23
HR,Trackhr evaluation - 09 Aug 23
Marketing & Sales,Bhavsar Employee Mobile Setting
Other,Rectification Entry
Other,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Rectification Entry"
IT,30326 | AUTOVEA COMPONENTS | N.A(N.A) | USer license count
IT,30327 | SPRA Automotive Pvt Ltd | Trial Balance(Report) | Bug rectification
Marketing & Sales,Client Visit -Hex Business Innovations
IT,30336 | Alumex International | N.A(N.A) | Bug rectification
IT,30338 | Bhupendra Steels Pvt. Ltd. | N.A(N.A) | Backup
IT,BOMV7
IT,30340 | SWASTIK AUTOMECH PVT. LTD | N.A(N.A) | USer license count
IT,Modules IT and audio
IT,Ems complaints Help for resolution
Marketing & Sales,Client Visit -Bhavsar
IT,Backup project to server - 10 Aug 23
IT,30344 | Rajhans Presssings Pvt. Ltd. (Unit-III) | Journal Voucher(Module) | Bug recti
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30345 | Siddhi International"
IT,[Sub] 30244 | KRISHNA ENTERPRISES
Marketing & Sales,New Website Lead
IT,Checking and updating sheet
IT,Rajhans required backup and sync
Operations,Naini raw materials Master v1 import
Other,Watching Videos on YouTube for shampoo packing lin
